day,hour,minute,sec,round(csec),prn,Lvec,signal level,phase hist
0.0,0.0,3.0,11,92.0,2,0,-0.3896144285316898,-0.003001486997676074
0.0,0.0,3.0,11,92.0,2,1,-0.6306049413060719,-0.0012580192366923536
0.0,0.0,3.0,11,93.0,2,0,-0.38969032807882686,-0.003006249729779056
0.0,0.0,3.0,11,93.0,2,1,-0.6316072471500295,-0.001259656109763987
0.0,0.0,3.0,11,94.0,2,0,-0.38979938906578354,-0.003010502124487632
0.0,0.0,3.0,11,94.0,2,1,-0.6326532105418158,-0.0012616074593295992
0.0,0.0,3.0,11,95.0,2,0,-0.3898516053893361,-0.003014464826810895
0.0,0.0,3.0,11,95.0,2,1,-0.6337878357829435,-0.0012640755158743271
0.0,0.0,3.0,11,96.0,2,0,-0.38985487759794984,-0.00301817868030723
0.0,0.0,3.0,11,96.0,2,1,-0.6350790431023114,-0.0012665817473164046
0.0,0.0,3.0,11,97.0,2,0,-0.3898487450121673,-0.0030215711311795492
0.0,0.0,3.0,11,97.0,2,1,-0.6363902942127018,-0.00126871717985396
0.0,0.0,3.0,11,98.0,2,0,-0.38988869775852497,-0.0030248392141017594
0.0,0.0,3.0,11,98.0,2,1,-0.6376342127621881,-0.0012701664147070028
0.0,0.0,3.0,11,99.0,2,0,-0.3900459123615802,-0.0030280105017104673
0.0,0.0,3.0,11,99.0,2,1,-0.6390228904875733,-0.0012709177553970933
0.0,0.0,3.0,12,0.0,2,0,-0.3903348940236152,-0.0030309649490494416
0.0,0.0,3.0,12,0.0,2,1,-0.6406374279655545,-0.0012713902573408013
0.0,0.0,3.0,12,1.0,2,0,-0.3907533980435874,-0.003033756421167712
0.0,0.0,3.0,12,1.0,2,1,-0.6422744567585421,-0.001272183187476367
0.0,0.0,3.0,12,2.0,2,0,-0.3912422843785346,-0.0030364727049307203
0.0,0.0,3.0,12,2.0,2,1,-0.6438754517804226,-0.0012735717522973768
0.0,0.0,3.0,12,3.0,2,0,-0.3916457243543521,-0.0030392929900628766
0.0,0.0,3.0,12,3.0,2,1,-0.6455197042715985,-0.0012751909289189364
0.0,0.0,3.0,12,4.0,2,0,-0.3919496261573727,-0.003042410472740549
0.0,0.0,3.0,12,4.0,2,1,-0.6471609357576187,-0.0012768768418413923
0.0,0.0,3.0,12,5.0,2,0,-0.39226025127421954,-0.003045877895561853
0.0,0.0,3.0,12,5.0,2,1,-0.648711846066303,-0.0012790021298690747
0.0,0.0,3.0,12,6.0,2,0,-0.3925326565764329,-0.0030496378690359994
0.0,0.0,3.0,12,6.0,2,1,-0.650197788337512,-0.001281330695725153
0.0,0.0,3.0,12,7.0,2,0,-0.3927953507539473,-0.003053634616348421
0.0,0.0,3.0,12,7.0,2,1,-0.6516403281349038,-0.0012835815948073728
0.0,0.0,3.0,12,8.0,2,0,-0.3931050043961155,-0.0030577513791209287
0.0,0.0,3.0,12,8.0,2,1,-0.6530127087688193,-0.0012859145448638957
0.0,0.0,3.0,12,9.0,2,0,-0.3933860202924316,-0.0030621541068186894
0.0,0.0,3.0,12,9.0,2,1,-0.6543711954888392,-0.0012879161824191775
0.0,0.0,3.0,12,10.0,2,0,-0.39360815129822413,-0.003067017722466874
0.0,0.0,3.0,12,10.0,2,1,-0.6557939961276849,-0.0012890127745796532
0.0,0.0,3.0,12,11.0,2,0,-0.39380419432921665,-0.003071919604137813
0.0,0.0,3.0,12,11.0,2,1,-0.6572814477715541,-0.0012893762494978647
0.0,0.0,3.0,12,12.0,2,0,-0.39405671017989297,-0.0030767664476149393
0.0,0.0,3.0,12,12.0,2,1,-0.6588068845120583,-0.0012897703084613253
0.0,0.0,3.0,12,13.0,2,0,-0.39436418583717026,-0.0030817916114570763
0.0,0.0,3.0,12,13.0,2,1,-0.6603512809071223,-0.0012905128010064055
0.0,0.0,3.0,12,14.0,2,0,-0.3945895109301653,-0.003087074660554048
0.0,0.0,3.0,12,14.0,2,1,-0.661939625766236,-0.00129138688428989
0.0,0.0,3.0,12,15.0,2,0,-0.39469548868265003,-0.003092746434677489
0.0,0.0,3.0,12,15.0,2,1,-0.6636843709425904,-0.001292510591876958
0.0,0.0,3.0,12,16.0,2,0,-0.3947815089105047,-0.0030988572372867246
0.0,0.0,3.0,12,16.0,2,1,-0.6656761019368849,-0.0012938960005516617
0.0,0.0,3.0,12,17.0,2,0,-0.3949421249808118,-0.0031051318327983577
